id,site,job_url,job_url_direct,title,company,date_posted,level,job_group,remote,city,state,country,city_state,max_salary,min_salary,mean_salary,skills,experience,education,programming_languages,languages
in-0429515e7d077eb1,indeed,https://www.indeed.com/viewjob?jk=0429515e7d077eb1,http://www.indeed.com/job/entry-level-business-analyst-0429515e7d077eb1,Entry Level Business Analyst,ALCglobalSoftware,2024-12-11,Junior,Business Analyst,Remote,,,US,,70000.0,60000.0,65000.0,"Bachelor, SQL",1,Bachelor,SQL,
in-4d932e4173d96e34,indeed,https://www.indeed.com/viewjob?jk=4d932e4173d96e34,http://www.indeed.com/job/business-analyst-4d932e4173d96e34,Business Analyst,"Ramsoft Systems, Inc.",2024-12-11,Mid-Level,Business Analyst,On Site,Brooklyn,OH,US,"Brooklyn,OH",101200.0,99360.0,100280.0,"Master, Bachelor, Agile, Jira",3,Master,,
in-2129f2d1965d04ff,indeed,https://www.indeed.com/viewjob?jk=2129f2d1965d04ff,https://moderngovernmentsolutions.isolvedhire.com/jobs/1375203-293918.html,Cyber Analyst/Modeler (Operations Research Analyst) - Top Secret,,2024-12-11,Mid-Level,Operations Analyst,On Site,Naval Air Station Patuxent River,MD,US,"Naval Air Station Patuxent River,MD",120987.0,95549.0,108268.0,"Bachelor, CSS",3,Bachelor,CSS,
in-9936bd8d30f8a34d,indeed,https://www.indeed.com/viewjob?jk=9936bd8d30f8a34d,https://jobs.vccs.edu/postings/79840,Data Analyst,Virginia Community College System,2024-12-11,Mid-Level,Data Analyst,On Site,Chesterfield,VA,US,"Chesterfield,VA",78000.0,61000.0,69500.0,"Bachelor, SQL",2,Bachelor,SQL,
in-5a6317291bfe1a57,indeed,https://www.indeed.com/viewjob?jk=5a6317291bfe1a57,https://grnh.se/4abdcb957us,Business Analyst,Aperia,2024-12-11,Mid-Level,Business Analyst,On Site,Omaha,NE,US,"Omaha,NE",120938.0,95510.0,108224.0,"Bachelor, Power BI, SQL",0,Bachelor,SQL,
in-fbb31d85cc6da234,indeed,https://www.indeed.com/viewjob?jk=fbb31d85cc6da234,https://grnh.se/8055ba815us,Business Analyst (Top Secret Clearance Required),"Seneca Holdings, LLC",2024-12-11,Mid-Level,Business Analyst,On Site,El Segundo,CA,US,"El Segundo,CA",108155.0,85415.0,96785.0,Bachelor,5,Bachelor,,
in-65c826860da559a3,indeed,https://www.indeed.com/viewjob?jk=65c826860da559a3,https://jobs.colgate.com/job/Piscataway-Data-Analytics-Internship-NJ/1241206300/?feedId=168900&utm_source=Indeed&utm_campaign=Colgate_Indeed,Data Analytics Internship,Colgate-Palmolive,2024-12-11,Junior,Data Analyst,Hybrid,Piscataway,NJ,US,"Piscataway,NJ",58880.0,42320.0,50600.0,"Master, Bachelor, SQL, Python",0,Master,"SQL, Python",
in-eae3a2610cedc5ba,indeed,https://www.indeed.com/viewjob?jk=eae3a2610cedc5ba,https://jobs.ashbyhq.com/Moxie/5508aa01-a7d0-4bf3-9f5a-cd0b8649af65?utm_source=L2N2ZvPPVm,Senior Business Analyst,MOXIE,2024-12-11,Senior,Business Analyst,Remote,,NY,US,,166719.0,123227.0,144973.0,"SQL, Tableau, Looker, Snowflake",2,,SQL,
in-0123143eb77645f8,indeed,https://www.indeed.com/viewjob?jk=0123143eb77645f8,https://grnh.se/0be7ee141us,Financial Data Analyst,EquipmentShare,2024-12-11,Mid-Level,Data Analyst,Remote,Columbia,MO,US,"Columbia,MO",86876.0,68611.0,77743.5,"Python, Bachelor, SQL, PowerPoint, Excel, R",3,Bachelor,"Python, SQL, R",
in-679b46dfdbe7b4ea,indeed,https://www.indeed.com/viewjob?jk=679b46dfdbe7b4ea,https://grnh.se/de2a9b121us,"Data Analyst, Customer Operations",Squarespace,2024-12-11,Mid-Level,Data Analyst,Hybrid,New York,NY,US,"New York,NY",138000.0,85500.0,111750.0,"Python, SQL, Looker, R",2,,"Python, SQL, R",
in-506a48e047b0e57c,indeed,https://www.indeed.com/viewjob?jk=506a48e047b0e57c,http://www.indeed.com/job/data-analyst-employee-benefits-506a48e047b0e57c,Data Analyst (Employee Benefits),GBS Benefits,2024-12-11,Mid-Level,Data Analyst,Hybrid,South Salt Lake,UT,US,"South Salt Lake,UT",74386.0,58746.0,66566.0,"Bachelor, Excel",0,Bachelor,,
in-a56ae2cb4e3cddda,indeed,https://www.indeed.com/viewjob?jk=a56ae2cb4e3cddda,https://nexgen-technologies-inc.gnahiring.com/job/878790/business-analyst-mid-level,Business Analyst (Mid-Level),"NexGen Technologies, Inc.",2024-12-11,Mid-Level,Business Analyst,Remote,,,US,,80000.0,65000.0,72500.0,"Agile, Bachelor, PowerPoint, Excel",3,Bachelor,,
in-016ecd7aafc08127,indeed,https://www.indeed.com/viewjob?jk=016ecd7aafc08127,http://www.indeed.com/job/sr-business-analystsolution-architect-016ecd7aafc08127,Sr. Business Analyst/Solution Architect,Marshall's Marine Service,2024-12-11,Senior,Business Analyst,On Site,Saint Petersburg,FL,US,"Saint Petersburg,FL",110000.0,90000.0,100000.0,"Artificial Intelligence, Bachelor, Master, Jira",5,Master,,
in-0a90c0d5a6549608,indeed,https://www.indeed.com/viewjob?jk=0a90c0d5a6549608,http://www.indeed.com/job/business-analyst-it-remote-us-citizenship-required-6-years-ba-0a90c0d5a6549608,Business Analyst (IT) Remote US Citizenship Required + 6+ Years as a BA,ViaTrie LLC,2024-12-11,Mid-Level,Business Analyst,Remote,,,US,,121107.0,95644.0,108375.5,"Bachelor, Office, English",6,Bachelor,,English
in-1ad5bb8760910852,indeed,https://www.indeed.com/viewjob?jk=1ad5bb8760910852,http://www.indeed.com/job/hiring-fresher-business-analyst-role-1ad5bb8760910852,Hiring for Fresher Business Analyst Role,MobileAppsUS,2024-12-11,Mid-Level,Business Analyst,Remote,,,US,,64400.0,58880.0,61640.0,"Excel, Office, Bachelor, SQL, PowerPoint, Tableau, Power BI",1,Bachelor,SQL,
in-939c54c62114310a,indeed,https://www.indeed.com/viewjob?jk=939c54c62114310a,https://mosaic.wd5.myworkdayjobs.com/en-US/mosaic/job/US---Tampa-FL-Lithia-area/Lead-IT-Information-Delivery-Business-Intelligence-Architect_56342-1,Lead IT Information Delivery/Business Intelligence Architect,The Mosaic Company,2024-12-11,Lead,Business Intelligence,On Site,Tampa,FL,US,"Tampa,FL",146549.0,115737.0,131143.0,"Salesforce, Bachelor, SQL, SAP, Tableau, Power BI",5,Bachelor,SQL,
in-4aa07ed8884040a1,indeed,https://www.indeed.com/viewjob?jk=4aa07ed8884040a1,http://www.indeed.com/job/business-analyst-guidewire-claims-center-policy-center-4aa07ed8884040a1,"business Analyst - Guidewire Claims Center, Policy center",Vminds technologies Inc,2024-12-11,Mid-Level,Business Analyst,On Site,San Antonio,TX,US,"San Antonio,TX",103462.0,81709.0,92585.5,,5,,,
in-df6124b4591def6e,indeed,https://www.indeed.com/viewjob?jk=df6124b4591def6e,http://www.indeed.com/job/it-business-analyst-financial-services-df6124b4591def6e,IT Business Analyst - Financial Services,RYAN Consulting Group,2024-12-11,Mid-Level,Business Analyst,On Site,Frisco,TX,US,"Frisco,TX",106720.0,82800.0,94760.0,,0,,,
in-4519041b03b3ea26,indeed,https://www.indeed.com/viewjob?jk=4519041b03b3ea26,https://nghs.wd1.myworkdayjobs.com/en-US/External/job/Gainesville-GA/Senior-Financial-Accounting-Analyst_R17414-1,Senior Financial Accounting Analyst,Northeast Georgia Health System,2024-12-11,Senior,Financial Analyst,On Site,Gainesville,GA,US,"Gainesville,GA",93850.0,74118.0,83984.0,"Bachelor, Office",5,Bachelor,,
in-fb244f136137c2e4,indeed,https://www.indeed.com/viewjob?jk=fb244f136137c2e4,https://recruiting.ultipro.com/PLM1001PLMI/JobBoard/b8846383-8efc-54ca-fcf4-1924a148f6b9/OpportunityDetail?opportunityId=b40101e0-8407-4aa2-93a6-6414f54cba0f&postingId=5442a3ae-9c83-4c84-aa9d-c0aa4c8f577d,Business Intelligence Analyst,PL Marketing,2024-12-11,Mid-Level,Business Intelligence,Hybrid,Newport,KY,US,"Newport,KY",91378.0,72166.0,81772.0,"Power Query, Office, DAX, SQL, Power Pivot, Power BI, English",4,,"DAX, SQL",English
in-a83bbf23ad7fd65d,indeed,https://www.indeed.com/viewjob?jk=a83bbf23ad7fd65d,https://brinks.wd5.myworkdayjobs.com/en-US/BrinksCareersUS/job/Coppell-TX/Functional-Business-Analyst_R53147,Functional Business Analyst,"Brink's, Incorporated",2024-12-11,Mid-Level,Business Analyst,On Site,Coppell,TX,US,"Coppell,TX",119301.0,94218.0,106759.5,"SQL, Power BI",10,,SQL,
